Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
30,1.0,0.0,0.0,1672.0,10.0,102.0,4325.0,0.1,15.568999999999988,0.0,0.0,728.7375335693359,,,,,,,,,,,,,,,,,,,,,4.986347005335114,5.731539796592754,15.118782077534503,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1863.0,11.0,191.0,4516.0,0.1,55.62399999999986,0.0,0.0,746.0075559616089,,,,,,,,,,,,,,,,,,,,,20.803125548993698,16.720564450294887,51.9066265956664,-3.4895174825104966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1944.0,12.0,81.0,4597.0,0.1,25.544000000000004,0.0,0.0,754.0262839794159,,,,,,,,,,,,,,,,,,,,,10.351241615162696,8.261349539191405,24.778813557181504,-3.4895174825104966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,2150.0,13.0,206.0,4803.0,0.1,67.62699999999998,0.0,0.0,772.6491861343384,,,,,,,,,,,,,,,,,,,,,31.424782578968873,19.51145249955133,61.45717569974367,-3.4895174825104966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,2233.0,14.0,83.0,4886.0,0.1,6.042999999999999,0.0,0.0,780.5386335849762,,,,,,,,,,,,,,,,,,,,,-3.772812393123915,4.341806237579747,6.368874809373233,-10.88526635562978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,2305.0,15.0,72.0,4958.0,0.1,30.032000000000004,0.0,0.0,787.4458239078522,,,,,,,,,,,,,,,,,,,,,11.85507105415752,9.589217411439177,29.265144550583905,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,2489.0,16.0,184.0,5142.0,0.1,60.11399999999991,0.0,0.0,804.2894117832184,,,,,,,,,,,,,,,,,,,,,27.643650828946953,18.00542045920051,55.191980667726895,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,3019.0,17.0,530.0,5672.0,0.1,203.3170000000009,0.0,0.0,851.5985171794891,,,,,,,,,,,,,,,,,,,,,89.75287580106091,45.7128866640046,156.21515479958725,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,3502.0,18.0,483.0,6155.0,0.1,158.31500000000074,0.0,0.0,894.5230231285095,,,,,,,,,,,,,,,,,,,,,68.6020305881108,37.296724454290704,125.5555112176172,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,3925.0,19.0,423.0,6578.0,0.1,139.2710000000006,0.0,0.0,931.9779920578003,,,,,,,,,,,,,,,,,,,,,56.41408340356078,33.50649748702317,115.98361108888857,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,4409.0,20.0,484.0,7062.0,0.1,160.30200000000087,0.0,0.0,974.8556334972382,,,,,,,,,,,,,,,,,,,,,64.87218205255581,40.21202522420526,129.41876795933922,-2.4950049975005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
